eta:  0.050000    0.893688    0.027864    0.019108    0.036630
eta:  0.150000    0.841945    0.033537    0.032448    0.064516
eta:  0.250000    0.854286    0.030405    0.022581    0.050746
eta:  0.350000    0.887195    0.023392    0.022082    0.038922
eta:  0.450000    0.893175    0.029070    0.027523    0.041298
eta:  0.550000    0.872727    0.028409    0.009709    0.025723
eta:  0.650000    0.889552    0.027108    0.017341    0.045181
eta:  0.750000    0.906077    0.023881    0.011561    0.032836
eta:  0.850000    0.890855    0.025496    0.023460    0.026627
eta:  0.950000    0.753846    0.034810    0.038123    0.031447
eta:  1.050000    0.053628    0.003247    0.003247    0.003030
